,test sample,loss,accuracy,epoch,batch,learning rate,hidden size,hidden_layer
0,14.0,1.680836794548668e-05,85.71428571428571,150.0,1.0,0.001,62.0,2.0
0,14.0,2.4318398573086597e-05,85.71428571428571,150.0,1.0,0.001,62.0,2.0
0,14.0,0.00014101465058047324,78.57142857142857,150.0,1.0,0.001,62.0,2.0
0,14.0,2.455681169521995e-05,100.0,150.0,1.0,0.001,62.0,2.0
0,14.0,2.396077979938127e-05,85.71428571428571,150.0,1.0,0.001,62.0,2.0
0,14.0,4.2914423829643056e-05,85.71428571428571,150.0,1.0,0.001,62.0,2.0
0,84.0,0.00014888131408952177,53.57142857142857,150.0,1.0,0.001,62.0,2.0
0,14.0,1.1920858014491387e-05,85.71428571428571,150.0,1.0,0.001,62.0,2.0
0,14.0,3.373566141817719e-05,71.42857142857143,150.0,1.0,0.001,62.0,2.0
0,14.0,0.00010144196130568162,85.71428571428571,150.0,1.0,0.001,62.0,2.0
0,14.0,3.731181277544238e-05,100.0,150.0,1.0,0.001,62.0,2.0
0,14.0,1.4305012882687151e-05,92.85714285714286,150.0,1.0,0.001,62.0,2.0
0,14.0,0.004169580992311239,78.57142857142857,150.0,1.0,0.001,62.0,2.0
0,84.0,0.002206512028351426,52.38095238095238,150.0,1.0,0.001,62.0,2.0
